id,degree,unmet,need,loan,scholarship,age19,onCampus,outstate,reciprocity,firstgen,act,ap,remedial,ratio,ccount,dcount,wcount
1,Graduate (original),1.497,0,2.2939999,0,0,1,0,0,0,21,0,0,100,1,1,0
2,Graduate (original),5.1960001,5.5089998,0,0,0,0,0,0,0,19.029329,0,0,73.333344,1,0,1
3,Graduate (original),0.64399999,1.615,0,0,0,1,0,0,1,27,0,0,100,2,0,0
4,Graduate (original),11.636,1.5,0,0.5,0,0,0,0,1,25,0,0,100,0,0,0
5,Non-Graduate,0,0,5.355,0,0,1,0,1,1,28,17,0,100,2,0,0
6,Graduate (original),0,0,1.294,0,1,0,0,0,0,21,0,0,100,0,0,0
7,Graduate (original),0,2,0,0,0,1,0,1,1,27,8,0,100,0,0,0
8,Graduate (transfer),2.658,5.4390001,0,0,0,0,0,0,0,16,0,0,100,1,0,0
9,Non-Graduate,0,0,4.2509999,0,0,1,0,0,0,20,0,1,100,1,0,0
10,Graduate (transfer),3.342,3.016,2.7939999,0,0,1,0,0,1,16,0,0,100,2,0,0
11,Graduate (original),0,0,6.1690001,0,0,1,0,1,1,26,0,0,100,1,1,0
12,Graduate (original),0,0,4.8889999,0,0,1,0,0,1,25,4,0,100,2,0,0
13,Graduate (original),0.71100003,0,2.7939999,0,0,1,0,1,1,21,0,1,100,0,0,0
14,Graduate (original),0.097999997,0,1.294,0,0,1,0,1,1,26,4,0,100,1,0,0
15,Graduate (original),4.0067158,0,0,0,0,0,1,0,1,28,0,0,100,0,0,0
16,Graduate (original),1.84231,0,0,0,0,1,0,1,1,26,21,0,100,1,0,0
17,Graduate (original),0,0.70499998,4.415,1.5,0,1,0,0,1,30,26,0,100,0,0,0
18,Graduate (original),0,0,0,0,0,1,0,1,1,24,0,0,100,2,0,0
19,Graduate (transfer),1.326238,0,0,0,0,1,0,1,0,26,0,0,100,2,0,0
20,Non-Graduate,0,1.183,5.6040001,0,0,1,0,0,1,22,0,0,50,2,0,0
21,Non-Graduate,0,0,1.294,0,0,0,0,1,0,27,0,0,100,3,0,0
22,Non-Graduate,0,0,3.5439999,0,0,1,0,1,1,21,11,0,100,1,1,0
23,Graduate (original),2.6819999,0,0,0,0,1,0,0,0,24,6,0,100,1,0,0
24,Graduate (transfer),0,0.5,5.007,0,0,1,0,1,1,24,0,0,100,1,0,0
25,Graduate (original),0,1.1289999,0,0,0,1,0,0,1,23,0,0,100,0,0,0
26,Graduate (original),0.237,5.5110002,0,0,0,0,0,0,0,14,0,1,100,0,0,0
27,Graduate (original),0,0,0,0,0,1,0,0,1,28,0,0,100,0,0,0
28,Graduate (original),0,1.654,3.484,0,0,0,0,0,0,20,0,0,100,1,0,0
29,Graduate (original),0,3.75,1.851,0,0,1,0,1,0,26,0,0,100,1,0,0
30,Graduate (transfer),7.079,0,0,0,0,0,0,0,1,29,0,0,100,1,0,0
31,Graduate (original),0,0,0,0,0,1,0,0,1,30,12,0,100,0,0,0
32,Non-Graduate,0,0,1.294,0,0,0,0,0,1,25,0,0,100,0,0,0
33,Non-Graduate,1.975,4,2.7939999,0,0,0,0,1,0,28,4,0,100,2,1,0
34,Graduate (transfer),1.324885,0,0,0,0,1,0,1,1,23,0,0,77.777779,1,1,1
35,Graduate (original),5.263,2.076,1.294,0,0,1,0,0,1,21,0,0,100,0,0,0
36,Graduate (original),1.6557,0,0,0,0,1,0,1,1,29,12,0,100,0,0,0
37,Non-Graduate,15.636,0,0,0.5,0,1,0,0,1,26,18,0,100,1,0,0
38,Graduate (original),0,1.45,3.7460001,0,0,1,0,1,1,27,7,0,100,0,0,0
39,Non-Graduate,0.98100001,3.925,2.7939999,0,0,1,0,1,1,20,0,0,75,1,1,0
40,Graduate (original),1.88289,0,0,0,0,1,0,0,1,26,0,0,100,0,0,0
41,Graduate (original),0,0,7.1040001,0,0,1,0,0,1,20,4,0,100,2,0,0
42,Non-Graduate,0.29899999,0,1.294,0,0,1,0,0,0,29,0,0,43.75,0,0,1
43,Graduate (original),0,0,6.1739998,0,0,1,0,0,0,21,0,0,100,0,0,0
44,Graduate (original),2.4909999,0,1.294,0,0,1,0,0,1,31,0,0,75,0,0,1
45,Graduate (original),1.997,0.5,3.5439999,0,0,1,0,1,1,21,0,0,100,3,0,0
46,Graduate (transfer),5.4229999,3.75,1.294,0,0,0,0,1,1,30,7,0,71.428574,2,0,0
47,Graduate (transfer),0,0,3.586,0,0,1,0,1,1,29,4,0,100,1,0,0
48,Graduate (transfer),14.456,0,0,0,0,1,0,1,0,27,0,0,100,1,0,0
49,Graduate (original),0,0,2.026,0,0,1,0,0,1,25,0,0,100,0,0,0
50,Non-Graduate,2.322758,0,0,0,0,0,0,0,1,22,0,0,100,1,1,0
51,Graduate (original),15.636,0.75,0,0,0,1,0,0,1,24,0,0,100,1,0,0
52,Graduate (original),0,0,1.293,0,0,1,0,0,1,28,0,0,100,2,0,0
53,Graduate (original),0,0,4.2189999,0,0,1,0,1,0,25,0,0,100,1,1,0
