id,marriage,attend,denom,gender,ideology,orientation,friends,educ,region,race,age
1,3,2,1,2,0,1,5,12,3,1,58
2,3,1,1,2,5,1,5,16,3,1,39
3,2,4,2,1,3,1,1,12,3,1,50
4,3,2,1,1,6,1,5,16,3,1,72
5,3,5,7,2,5,1,5,14,3,1,71
6,3,1,1,2,4,1,1,16,3,1,66
7,3,1,1,1,4,1,5,14,3,1,56
8,3,1,1,2,6,1,5,14,3,1,40
9,3,1,1,1,0,1,5,16,3,2,55
10,2,3,1,2,3,1,1,15,3,1,84
11,3,1,7,2,5,1,5,12,3,1,55
12,3,2,7,1,5,1,1,12,3,1,30
13,2,5,1,2,6,1,5,15,3,1,79
14,3,4,1,2,3,1,1,15,3,1,78
15,1,1,2,2,3,1,1,17,3,1,72
16,2,2,7,2,1,1,1,12,3,2,21
17,1,3,7,1,2,1,5,15,3,1,27
18,2,3,2,1,0,1,5,16,3,1,61
19,3,2,1,1,6,1,5,16,3,1,51
20,1,5,7,2,2,3,1,16,3,1,32
21,1,5,1,2,2,1,5,12,3,1,87
22,3,4,2,2,0,1,1,12,4,4,37
23,1,5,7,2,1,1,1,10,4,1,28
24,1,2,2,2,1,1,1,13,4,1,19
25,2,4,7,1,1,1,1,14,4,1,41
26,1,5,2,1,2,1,1,15,4,4,38
27,2,5,1,2,6,1,5,12,4,1,60
28,3,5,2,1,6,1,5,12,4,1,78
29,2,5,2,1,5,1,5,15,4,1,57
30,1,5,7,1,2,1,5,12,4,1,54
31,3,3,7,2,4,1,1,14,4,4,24
32,1,1,2,1,1,1,1,16,4,1,52
33,1,4,2,1,1,1,1,14,4,1,24
34,1,3,3,1,1,1,1,17,4,1,63
35,1,2,7,2,0,1,1,14,4,2,40
36,3,5,2,2,1,1,1,14,4,1,53
37,3,1,2,2,6,1,1,17,4,4,46
38,2,3,7,1,0,1,1,16,4,1,38
39,3,1,7,2,5,1,5,16,4,1,49
40,1,5,2,1,1,1,1,14,4,1,28
41,2,2,1,2,5,1,1,14,4,1,45
42,3,1,2,2,5,1,5,12,4,1,65
43,1,4,7,2,4,3,1,12,4,1,44
44,3,3,7,2,2,1,1,14,4,1,30
45,2,3,1,2,4,1,5,14,4,1,79
46,1,5,2,1,2,1,1,16,4,1,33
47,1,4,2,1,5,1,5,14,4,4,25
48,1,5,2,1,2,1,1,14,4,1,53
49,1,4,3,2,1,3,1,17,4,1,28
50,1,5,1,2,0,5,1,17,4,1,28
51,2,1,2,1,6,1,5,12,4,1,90
52,1,2,1,1,0,3,1,17,4,1,40
53,1,3,3,2,0,3,1,17,4,1,66
54,3,5,1,2,0,1,5,14,4,2,51
55,3,3,7,1,2,1,5,12,4,2,36
56,1,2,2,1,0,1,1,17,4,1,33
57,2,4,1,1,2,1,1,17,4,1,36
58,1,3,7,2,0,1,1,17,4,4,30
59,1,3,2,2,0,1,1,14,4,1,35
60,1,4,2,1,4,1,1,17,4,1,29
61,3,1,7,2,0,1,5,10,4,2,75
62,2,1,7,1,0,1,5,12,4,4,62
63,2,2,1,2,5,1,1,16,4,1,36
64,2,4,1,2,2,1,1,12,4,1,25
65,3,1,1,2,1,1,1,12,4,1,51
66,3,1,7,1,6,1,5,16,4,1,38
67,3,1,7,2,1,1,1,14,4,1,53
68,1,3,7,2,2,1,1,15,4,1,27
69,2,1,1,2,1,1,5,16,4,1,53
70,2,4,2,2,1,1,5,13,4,2,33
71,2,2,1,1,6,1,5,15,4,1,25
72,2,5,2,1,4,1,5,12,4,1,51
73,2,4,7,2,1,1,1,14,4,1,46
74,1,3,2,1,2,1,5,13,4,1,26
75,1,3,2,2,1,1,1,14,4,1,28
76,2,1,1,1,6,1,5,13,4,4,45
77,2,4,1,2,2,1,5,16,4,2,62
78,2,1,7,2,3,1,5,12,4,2,29
79,1,5,7,2,4,5,5,12,4,1,23
80,1,4,1,1,0,1,5,12,4,5,59
81,1,5,7,2,5,1,5,13,4,2,19
82,1,2,2,1,0,1,5,16,4,1,61
83,1,4,2,1,2,1,1,14,4,4,28
84,3,2,2,2,0,1,1,14,4,4,59
85,1,3,2,1,2,1,1,12,4,4,26
86,2,5,7,1,0,1,1,12,4,1,60
87,1,4,2,2,0,1,1,16,4,4,38
88,1,4,2,2,1,1,5,16,4,4,29
89,2,1,2,1,2,1,5,12,4,4,59
90,3,5,2,2,0,1,5,12,4,4,30
91,3,1,2,2,2,1,1,11,4,4,19
92,2,5,2,2,0,1,1,16,4,1,55
93,1,3,2,2,1,1,1,13,4,4,36
94,2,4,1,2,0,1,1,13,4,2,69
95,3,5,2,1,2,1,5,15,4,4,35
96,3,1,2,1,1,1,5,12,4,4,73
97,2,1,2,1,4,1,1,17,4,4,35
98,1,4,2,2,2,1,1,12,4,4,20
99,3,1,7,1,0,1,5,14,4,1,60
100,1,5,2,2,1,3,1,12,4,1,65
101,2,5,1,2,5,1,1,12,4,1,75
102,1,5,7,1,2,1,1,11,4,1,26
103,1,2,7,2,1,1,1,14,4,4,36
104,2,5,1,1,6,1,5,16,4,1,76
105,2,3,7,2,6,1,1,13,4,1,53
106,1,2,7,2,1,1,5,12,4,1,39
107,1,2,7,2,0,1,1,16,4,1,64
108,2,1,2,2,4,1,1,17,4,1,66
109,1,5,1,2,2,1,5,12,4,1,66
110,1,5,7,1,0,1,1,14,4,1,46
111,2,1,1,1,6,1,5,16,4,1,57
112,2,1,1,1,6,1,5,15,4,1,42
113,1,1,1,2,2,1,1,17,4,1,59
114,1,5,2,2,2,1,5,13,4,1,64
115,1,4,3,2,0,1,1,14,4,1,65
116,1,5,7,1,2,1,5,13,4,1,46
117,1,4,2,2,1,1,1,16,4,1,56
118,1,5,2,1,5,1,1,16,4,4,34
119,3,3,7,2,3,1,1,14,4,2,20
120,3,4,2,1,6,1,5,16,4,5,36
121,1,4,2,1,3,1,5,15,4,1,27
122,3,1,7,2,3,1,5,12,4,4,63
123,1,1,2,2,6,1,5,4,4,4,58
124,3,1,7,1,0,1,5,6,4,4,50
125,2,2,2,1,0,1,1,11,4,4,47
126,3,1,2,2,0,1,5,15,4,4,65
127,3,1,2,1,6,1,1,16,4,1,77
128,1,3,7,2,0,1,1,17,4,4,53
129,2,5,1,2,1,1,5,16,4,1,40
130,1,4,1,2,4,1,1,17,4,1,59
131,2,3,7,1,5,1,1,17,4,1,76
132,3,3,1,1,0,1,5,12,4,1,85
133,3,1,1,2,5,1,5,16,4,1,65
134,2,4,7,1,3,1,1,10,4,4,27
135,3,3,7,1,3,1,1,11,4,4,21
136,1,4,7,2,2,1,1,14,4,4,20
137,1,1,7,2,3,1,1,14,4,1,71
138,1,2,2,1,4,1,1,9,4,1,45
139,2,2,2,2,5,1,5,16,4,1,46
140,2,3,2,1,1,1,5,13,4,4,33
141,1,4,7,2,2,1,1,12,4,1,36
142,2,1,1,2,6,1,1,16,4,1,62
143,1,3,2,1,0,5,5,17,4,4,32
144,3,4,1,1,4,1,1,14,4,1,72
145,3,5,1,1,5,1,1,13,4,1,34
146,2,3,7,1,5,1,1,17,4,1,47
147,3,1,1,1,2,1,5,17,4,4,56
148,2,3,2,1,4,1,1,17,4,1,62
149,3,2,7,2,4,1,1,12,4,1,53
150,1,4,2,1,4,1,5,12,4,1,20
151,3,1,1,1,6,1,1,15,4,4,46
152,2,5,7,2,4,1,5,12,4,1,47
153,1,4,7,2,5,1,1,16,4,1,65
154,1,4,2,1,6,1,1,16,4,1,41
155,3,5,1,1,5,1,5,14,4,1,70
156,3,1,1,2,4,1,1,16,4,1,73
157,2,4,1,1,6,1,1,16,4,1,69
158,2,5,7,2,6,1,1,12,4,1,45
159,3,2,1,2,6,1,5,14,4,1,78
160,2,2,7,2,0,1,5,12,4,2,24
161,3,3,7,1,0,1,5,16,4,4,43
162,3,5,1,1,0,1,5,6,4,4,51
163,1,2,2,2,3,5,1,11,4,4,26
164,2,1,1,1,0,1,1,13,4,2,32
165,3,3,7,2,0,1,5,13,4,2,48
166,1,3,7,2,2,3,1,14,4,2,42
167,2,5,1,2,0,1,1,12,4,1,43
168,3,3,7,2,5,1,5,13,4,4,46
169,3,4,2,1,3,1,5,12,4,4,18
170,1,5,2,1,0,1,1,13,4,4,36
171,2,4,2,1,1,1,1,13,4,1,59
172,1,2,2,2,1,1,1,12,4,4,18
173,1,1,2,2,0,1,5,12,4,4,45
174,1,4,7,1,0,1,1,14,4,2,57
175,1,4,7,1,0,1,5,7,4,2,73
176,2,2,1,1,4,1,5,16,4,1,50
177,2,1,1,1,6,1,5,13,4,1,76
178,2,4,2,2,6,1,1,14,4,1,66
179,2,5,7,2,0,1,5,14,4,1,64
180,3,1,1,1,6,1,5,12,4,4,45
181,2,2,7,1,6,1,5,17,4,1,69
182,1,3,2,1,1,1,1,13,4,4,74
