"ayp","teacherSalary","poverty","enroll"
1,54975,1,3834
1,41726,1,244
1,43719,1,250
1,48395,2,420
1,43992,2,585
1,48691,2,706
1,47768,2,886
1,48174,1,273
1,41272,2,99
1,48096,0,1761
1,55898,0,6483
1,47098,0,977
0,53187,0,3354
1,39524,1,149
1,44839,2,360
1,57935,1,2380
1,45115,2,301
1,49522,2,1281
1,43816,1,30
1,49147,0,2282
1,47632,0,1145
1,47408,2,261
0,62166,0,9272
0,62286,0,8254
1,59869,0,12539
0,37179,1,175
1,49934,2,536
1,49182,0,1206
1,42975,2,148
0,47859,2,451
1,51084,1,1873
1,49432,2,635
1,51293,1,330
1,40467,1,281
1,44931,2,190
1,46223,2,230
1,45224,2,169
1,34505,1,93
1,42365,2,368
1,43867,1,85
1,47311,1,363
1,45569,1,999
0,42097,2,500
1,36736,0,201
1,51536,1,1137
1,48231,0,2138
0,47941,2,250
1,49955,0,686
1,46118,0,303
1,40343,2,93
1,41736,0,794
1,65171,0,10861
1,41271,2,155
1,47704,1,324
0,53205,2,2421
1,51652,2,295
0,40086,1,224
1,33734,1,111
1,49481,1,670
1,63432,0,3257
1,49019,0,942
1,49360,1,1042
1,45446,0,401
1,42827,2,815
1,45398,2,32
1,42449,1,421
0,48088,1,678
1,47619,1,985
1,47323,2,76
1,48183,2,514
1,41790,1,277
1,47993,2,556
1,42591,2,154
1,61063,0,2719
1,47668,1,825
1,44714,1,522
1,52722,1,988
0,52388,2,1626
1,47636,1,1527
1,43388,1,382
1,44720,1,420
0,53503,1,2822
1,52334,1,1247
1,36191,1,234
1,37462,2,97
1,43310,2,823
1,38838,0,3612
1,43415,2,510
1,44669,1,1206
1,48426,1,588
1,56308,1,1771
1,52390,2,966
1,53195,0,5446
1,48993,0,350
0,48723,1,1938
0,44087,2,251
1,42282,0,293
0,42828,1,397
0,42697,2,478
1,55635,2,1614
1,44193,1,424
1,47545,1,1852
0,61055,0,10426
1,49091,2,728
1,58404,0,2204
1,61967,0,8022
1,47388,2,442
1,51554,1,1064
1,46171,1,780
0,44633,2,518
1,42067,1,583
0,42923,2,1244
1,55834,0,1636
0,51996,2,3176
1,43194,1,507
1,52015,0,1689
0,62294,0,37933
0,51452,2,4490
0,50681,2,1006
1,49079,0,844
0,48044,1,764
1,48737,2,464
0,54417,0,2748
1,50118,1,670
1,46934,0,1593
0,54212,2,4992
0,51949,1,899
1,55131,0,3336
0,42714,1,680
0,61725,1,10443
0,46359,2,1277
0,56123,2,6466
0,51970,1,754
1,41517,1,160
0,52428,2,2098
0,49385,2,463
1,46481,1,572
1,55977,0,5749
0,60996,1,9555
0,42822,1,217
1,49628,2,701
1,50202,1,5042
1,41107,0,130
1,41318,2,502
1,44990,0,1185
1,44206,1,474
0,48283,2,1103
0,39805,2,478
1,46749,1,880
1,47906,2,710
0,40063,2,437
1,45203,0,410
1,35570,2,162
0,55461,2,2961
1,43889,1,174
0,52910,1,459
1,53521,2,1170
0,49689,1,2212
1,47733,1,497
0,49603,2,852
1,48840,1,2809
1,48476,1,1421
0,61680,2,8934
0,47373,2,774
1,50776,1,1688
0,56790,0,8988
1,43627,1,913
1,44799,1,317
1,48351,2,1157
0,52280,2,1718
0,50249,2,3856
1,56117,0,6565
0,49024,1,2401
1,40888,2,554
1,40587,2,254
0,41895,2,272
1,51846,0,6693
1,46045,2,899
0,56521,2,2895
0,42614,1,800
0,51936,1,1664
1,45636,1,640
1,42742,0,380
0,54640,1,3882
1,45617,0,418
0,46389,1,1020
1,45760,0,289
0,58026,0,4612
1,55666,1,918
1,50268,1,764
0,54632,0,2123
0,47083,2,346
0,59984,2,2388
0,47432,2,279
0,51225,2,980
0,61793,1,7025
0,42494,1,2223
1,41838,1,1045
0,50384,1,2885
1,53410,2,1225
1,60446,1,3697
0,39195,0,577
1,55914,0,1718
1,40605,1,822
1,51223,2,571
0,49592,1,617
1,48528,0,1258
0,48419,2,779
1,48342,1,1218
1,47272,1,494
1,39770,2,644
0,54184,1,1375
0,47124,1,599
0,41530,2,250
1,41292,1,298
1,43841,0,405
0,42627,1,1082
0,47200,1,747
1,50355,1,1658
1,49316,2,946
1,48105,1,1206
0,46756,2,259
0,45915,2,504
0,51795,2,597
0,49163,2,7386
0,46082,2,2206
0,48739,2,743
0,41672,2,381
1,43791,1,870
1,55013,1,1335
1,51509,2,865
0,49917,2,1827
0,65689,2,33503
0,59417,0,9044
0,55139,1,1058
0,54584,2,1306
0,57469,0,4005
0,53582,2,5406
0,48784,2,1748
1,57052,1,10048
0,48958,2,583
1,46810,1,462
1,40403,1,758
1,48833,2,557
0,50770,0,1417
1,51183,0,3829
1,48373,0,1939
1,45825,1,667
1,39241,0,332
1,44772,1,302
0,53657,0,3212
0,59545,1,10486
0,52070,0,3799
1,50841,2,387
1,46934,1,935
0,46404,2,656
1,50425,2,494
0,62522,1,20252
0,54595,1,4750
0,51691,2,1500
0,49702,2,889
0,47697,1,1631
1,45314,1,1377
0,49741,1,1088
1,46995,2,834
1,45594,0,1171
0,44705,2,59
0,48529,2,900
1,54379,2,1113
0,39701,2,213
1,50261,1,3354
0,56542,0,7151
0,49607,1,1739
1,46910,1,573
0,47605,2,1322
1,46027,1,1113
0,49423,2,514
0,59986,2,4170
0,59916,2,11874
0,56195,1,16003
1,47791,1,1580
0,50463,0,2012
0,66084,0,27019
0,57993,2,6742
1,39044,1,537
0,45903,1,896
1,48062,1,637
1,56409,2,969
1,53066,1,3885
0,53686,0,7296
1,43016,1,617
0,42770,2,373
0,56933,1,3250
0,54872,0,17113
1,44464,0,497
1,47742,1,307
0,50180,1,5150
0,44216,0,589
0,53440,2,9459
0,62096,0,5136
0,55034,2,1078
0,48553,2,1858
0,57354,1,4375
0,67302,2,37063
0,52257,1,1870
0,48491,2,1237
1,51058,1,1898
1,64695,0,8143
1,49054,1,344
1,42757,2,766
0,42213,1,1815
1,48645,2,218
1,45493,1,1160
1,42141,0,585
1,51617,2,612
1,46205,1,587
1,42860,0,423
1,50232,0,3419
0,52409,2,952
0,48635,2,795
0,54431,1,1075
1,46969,0,1562
1,47511,0,853
0,46883,2,591
0,56168,0,4546
0,46431,2,466
1,49425,2,396
0,52147,2,4020
1,45187,2,430
1,45940,2,934
0,53345,1,3187
0,48822,2,2569
0,43652,2,349
0,51484,1,828
