degree,act,scholarship,ap,firstgen,nontrad
1,21,0,0,0,0
1,19.029329,0,0,0,0
1,27,0,0,1,0
1,25,0.5,0,1,0
0,28,0,17,1,0
1,21,0,0,0,1
1,27,0,8,1,0
0,20,0,0,0,0
1,26,0,0,1,0
1,25,0,4,1,0
1,21,0,0,1,0
1,26,0,4,1,0
1,28,0,0,1,0
1,26,0,21,1,0
1,30,1.5,26,1,0
1,24,0,0,1,0
0,22,0,0,1,0
0,27,0,0,0,0
0,21,0,11,1,0
1,24,0,6,0,0
1,23,0,0,1,0
1,14,0,0,0,0
1,28,0,0,1,0
1,20,0,0,0,0
1,26,0,0,0,0
1,30,0,12,1,0
0,25,0,0,1,0
0,28,0,4,0,0
1,21,0,0,1,0
1,29,0,12,1,0
0,26,0.5,18,1,0
1,27,0,7,1,0
0,20,0,0,1,0
1,26,0,0,1,0
1,20,0,4,1,0
0,29,0,0,0,0
1,21,0,0,0,0
1,31,0,0,1,0
1,21,0,0,1,0
1,25,0,0,1,0
0,22,0,0,1,0
1,24,0,0,1,0
1,28,0,0,1,0
1,25,0,0,0,0
1,29,0,0,1,0
1,27,0,7,1,0
0,27,0,0,0,0
1,28,0,0,1,0
0,21,0,0,1,0
1,23,0,0,0,0
1,32,2.5,0,1,0
0,25,0,0,1,0
1,25,0,0,1,0
1,24,0,0,1,0
1,24,0,0,0,0
1,23,0,4,1,0
0,25,0,0,0,0
1,28,2,0,1,0
1,24,0,0,1,0
1,26,0,0,1,0
1,23,0,0,1,0
0,15,0,0,0,0
1,29,0,21,1,0
1,23,0,0,0,0
1,28,0,0,1,0
1,19,0,4,0,0
1,24,0,0,1,0
0,18,0,0,1,0
1,21,0,0,0,0
1,25,0,0,1,0
0,28,0,0,1,0
0,20,0,0,1,0
1,29,0,0,1,0
1,25,0,0,0,0
0,28,0,0,1,0
1,24,0,0,1,0
1,13,0,0,0,0
1,29,2,11,1,0
1,22,0,0,0,0
1,19,0,0,1,0
0,31,0,0,1,0
1,16,0,0,1,0
1,22,0,0,1,0
1,32,0,0,1,0
0,22,0,0,0,0
0,15,0,0,0,0
1,27,0.5,4,1,0
1,24,0,0,1,0
1,27,1,0,1,0
1,24,0,0,0,0
0,16,0,0,0,0
0,27,0,0,1,0
1,22,0,0,1,0
1,29,0,12,1,0
0,23,1.925,0,1,0
1,28,0,8,1,0
1,32,0,27,1,0
0,30,0,0,0,1
1,22,1,4,1,0
1,28,0,6,1,0
1,24,0,0,0,0
0,22,0,0,1,0
1,31,0,12,1,0
1,29,4,10,1,0
1,28,0,0,1,0
1,31,0,0,1,0
0,23,0,0,0,0
0,28,0,31,1,0
1,23,0,0,1,0
0,17,0,0,0,0
1,29,1.5,33,1,0
1,28,0,0,1,0
1,20,0,0,1,0
0,17,0,0,0,0
1,29,0,0,0,0
1,19,0,0,1,0
1,29,0.5,12,1,0
1,28,0,0,1,0
1,28,0,36,1,0
1,21,0,0,1,0
1,32,1,8,1,0
1,28,1.5,0,1,0
1,26,0,0,1,0
1,28,1.5,0,1,0
0,27,0,0,1,0
1,30,1.5,0,1,0
0,28,1,0,1,0
1,25,0,7,1,0
0,23,0,0,0,0
0,21,0,0,1,1
1,28,0,0,1,0
1,26,0,4,1,0
1,24,0,0,0,0
1,20,0,0,1,0
1,23,0,0,1,0
0,31,0,15,1,0
0,24,0,0,0,0
1,20,0,8,0,0
1,33,0,39,1,0
1,29,1.5,6,1,0
0,20.85248,0,0,0,0
1,17,1,0,0,0
1,19,0,0,0,0
1,27,0,7,1,0
1,27,0,8,1,0
1,28,0,0,0,0
1,29,0,11,1,0
1,29,0,0,1,0
1,28,0,22,1,0
0,18,0,0,0,0
1,28,1.5,12,1,0
1,28,1,0,1,0
1,26,0,0,1,0
1,23,0,0,1,0
1,23,0,0,1,0
0,19,0,0,1,0
1,21,0,0,0,0
1,25,0,0,1,0
1,23,0,0,1,0
1,31,1,29,1,0
1,28,0,3,1,0
1,25,0,0,0,0
0,28,0,4,1,0
1,25,0,0,1,0
1,23,0,8,1,0
0,29,1.5,0,1,0
0,26,0,0,0,0
1,29,1.5,42,1,0
1,29,0,0,0,0
1,21,0,0,0,0
1,30,0,25,1,0
1,21,0,0,1,0
1,23,0,0,1,0
1,26,0,15,1,0
1,26,0,4,1,0
0,26,0,8,1,0
0,31,0,10,1,0
0,24,0,0,1,0
1,23,0,0,1,0
1,23,0,7,1,0
1,22,0,0,0,0
0,18,0,0,0,0
1,24,0,0,1,0
1,20,0,0,1,0
1,24,0,4,1,0
1,22,0,0,0,0
0,22,0,0,0,0
1,31,0,22,1,0
0,24,0,4,0,0
1,21,0,0,0,0
1,26,0,0,1,0
1,17,0,0,0,0
0,22,0,0,1,0
0,24,0,0,1,0
1,23,0,0,0,0
0,25,0,0,1,0
1,20,0,0,1,0
1,26,0,4,1,0
1,22,0,0,0,0
1,20,0,0,0,0
1,22,0,4,1,0
1,24,0,0,1,0
1,29,0,8,1,0
1,24,0,0,0,0
1,20,0,0,0,0
1,22,0,0,1,0
1,26,0,4,1,0
1,24,0,17,1,0
1,23,0,0,1,0
1,21,0,0,0,0
1,27,0,0,1,0
1,27,0,15,1,0
1,22,0,0,1,0
1,25,0,0,1,0
1,17,0,0,1,0
0,24,0,12,0,0
1,23,0,0,1,0
1,23,0,0,0,0
1,26,0,10,1,0
1,29,0,23,1,0
0,22,0,0,0,0
0,25,0,0,1,0
0,16,0,0,1,0
1,28,1.5,0,1,0
1,31,0,16,1,0
0,13,0,0,1,0
1,19,0,0,0,0
1,26,0,0,1,0
1,28,0,0,1,0
1,23,0,4,1,0
0,25,0,12,0,0
1,25,0,0,1,0
1,25,0,4,1,0
0,27,0,0,1,0
0,27,0,18,1,0
1,26,0,0,1,0
1,32,0.5,33,1,0
0,26,0,0,1,0
1,33,1.5,6,1,0
1,24,0,0,0,0
1,28,1.5,7,1,0
1,25,0,4,1,0
1,28,0,0,1,0
1,30,0,6,1,0
1,21,0,0,0,0
1,26,0,0,1,0
0,29,0,0,0,0
0,26,0,0,1,1
1,24,0,0,0,0
1,26,0,4,1,0
0,26,0,4,1,0
1,26,0,0,1,0
1,28,0,0,1,0
1,22,0,0,1,0
1,32,0.5,12,1,0
1,27,0,0,0,0
1,28,2.5,0,1,0
0,23,0,0,0,0
1,20,0,0,0,0
1,32,0.5,27,1,0
0,21,0,0,0,0
0,21,0,0,0,0
1,22,0,0,0,0
1,30,0.5,0,1,0
1,19,0,0,1,0
0,16,0,0,0,0
1,24,0,0,1,0
1,31,1.5,0,1,0
1,16,0,0,1,1
1,20,0,0,1,0
1,29,0,0,1,0
0,27,0,0,0,0
0,24,0,0,0,1
0,19,0,0,0,0
1,23,0,0,1,0
1,23,0,4,1,0
1,28,1,4,1,0
1,17,0,0,0,0
1,26,0,8,1,0
1,21,0,0,0,0
1,26,0,4,1,0
1,25,0,0,1,0
1,27,0,0,1,0
1,17,0,0,0,0
1,27,0,0,1,0
0,22,0,0,0,0
1,28,1.5,4,1,0
1,33,0.5,31,1,0
1,24,0,4,1,0
0,22,0,0,1,0
0,23,0,0,0,0
1,34,2,0,1,0
1,30,2.5,0,1,0
0,22,0,0,1,0
1,32,0,14,1,0
1,27,0,0,0,0
1,25,0,0,1,0
1,28,0,13,1,0
0,26,0,0,1,1
1,22,0,0,0,0
1,29,0,0,1,0
1,25,0,0,0,0
1,25,0,8,1,0
1,27,0,22,1,0
1,28,0,0,1,0
1,25,1,0,1,0
1,19,0,0,0,0
1,29,0.5,11,0,0
1,21,0,0,1,0
1,28,0,4,1,0
0,23,0,0,1,0
0,16,0,0,0,0
1,28,0,0,1,0
1,28,0,39,1,0
0,23,0,0,1,0
1,25,0,4,1,0
1,29,0,15,1,0
1,26,0.67500001,0,1,0
1,29,0,0,1,0
1,31,2.5,12,0,0
0,17,0,0,0,0
1,25,1,0,0,0
1,21,0,0,0,0
0,26,0,0,0,0
1,26,0,0,1,0
0,25,0,0,1,0
0,30,0,0,1,0
1,28,0,0,0,0
1,33,1.5,29,1,0
0,21,0,0,0,0
1,28,0,4,1,0
0,27,0,4,1,0
1,31,1,15,1,0
1,19,0,0,0,0
0,25,0,0,1,0
1,24,0,0,1,0
0,25,0,0,1,0
1,28,0,14,0,0
1,24,0,0,1,0
0,19,0,0,1,0
1,23,0,0,1,0
1,23,0,0,1,0
1,30,0,11,1,0
1,21,1,0,1,0
1,24,0,0,1,0
1,28,1.5,4,1,0
1,22,1.25,8,0,0
0,20,0,0,0,0
1,24,0,0,1,0
1,28,1.5,0,1,0
1,22,0,0,1,0
1,28,0,0,1,0
0,24,0,0,1,0
1,25,0.5,4,1,0
1,26,0,10,0,0
1,30,2.5,21,1,0
1,25,0,0,1,0
0,20,0,0,1,0
0,27,0,0,0,0
1,25,0,7,1,0
0,22,0,0,0,0
1,23,0.5,0,1,0
1,28,0,18,0,0
1,29,0,0,1,0
1,20,0,0,0,0
1,26,0,0,1,0
1,32,1.5,8,1,0
0,20,0,0,0,0
1,26,0,11,1,0
1,27,1,0,1,0
0,23,0,0,1,0
1,26,0,7,1,0
1,23,0,0,1,0
1,28,0,4,1,0
1,27,0,20,1,0
0,21,0,0,0,0
1,26,0,6,1,0
1,26,0,0,1,0
1,27,0,0,1,0
1,31,0,7,1,0
1,29,0,0,1,0
1,31,2.5,0,1,0
1,22,0,0,0,0
0,29,0,0,0,0
1,23,0.5,0,1,0
1,18,0,0,0,1
1,27,0,11,0,0
1,29,0.5,13,1,0
1,26,0,0,1,0
0,30,0,11,1,0
1,30,0,35,1,0
0,20,0,0,1,0
1,31,0.5,0,1,0
1,25,0,0,1,0
0,29,0,0,1,0
0,33,0,14,1,0
1,27,0,4,1,0
0,16,0,0,1,0
0,22,0,0,1,0
1,27,1,11,1,0
1,24,0,8,1,0
1,29,0,10,1,0
1,29,0,12,1,0
1,26,0,4,1,0
0,31,0,26,1,0
0,29,0,15,1,0
0,21,0,0,1,0
1,28,0,12,1,0
1,19,0,0,0,0
1,20,0,0,1,0
1,29,0,0,0,0
1,21,0,0,1,0
0,24,0,4,1,0
1,26,0,4,1,0
1,23,0,0,1,0
1,20,1,0,1,0
1,26,0,11,1,0
1,29,0,0,1,0
1,23,0,6,1,0
1,20,0,0,1,0
1,30,0,18,1,0
1,22,0,0,1,0
1,22,0,4,1,0
1,25,0,0,1,0
1,18,0,0,0,0
1,35,0,10,1,0
1,27,0,10,1,0
1,26,0,0,1,0
1,27,0,21,1,0
1,22,0,0,0,0
1,22,0,0,1,0
0,21,0,0,0,0
0,31,0.5,0,1,0
1,26,0,10,1,0
1,27,0,0,0,0
1,30,0,0,0,0
0,29,0,4,1,0
1,23,1,0,1,0
1,27,0,0,1,0
1,28,0.5,23,1,0
1,31,2.5,0,1,0
0,26,0,0,1,0
0,25,0,0,1,0
1,26,0,0,1,0
1,19,1,0,1,0
1,26,0,4,1,0
0,28,0,0,0,0
0,18,0,0,1,0
0,21,0,0,0,0
0,25,0,0,1,0
1,26,0,0,1,0
1,27,0,0,1,0
1,28,0,4,0,0
1,26,0,0,0,0
1,27,0,4,1,0
1,27,0,0,1,0
1,22,0,0,0,0
0,21,0,0,1,0
1,20,0,4,1,0
1,29,0,0,0,0
0,27,0,0,1,0
1,23,0,0,1,0
1,25,0,0,0,0
1,22,0,0,1,0
1,33,1,16,1,0
0,26,0,0,1,0
1,21,0,0,0,0
1,30,1.5,0,1,0
1,22,0,0,1,0
1,29,0,6,1,0
