team,year,fci
Anaheim Ducks,2002,212.28
Anaheim Ducks,2003,228.51
Anaheim Ducks,2006,210.77
Anaheim Ducks,2007,260.1
Anaheim Ducks,2008,274.5
Anaheim Ducks,2010,284.76
Anaheim Ducks,2011,238.76
Anaheim Ducks,2013,284.96
Anaheim Ducks,2014,288.88
Arizona Coyotes,2002,214.28
Arizona Coyotes,2003,214.28
Arizona Coyotes,2006,181.62
Arizona Coyotes,2007,231.75
Arizona Coyotes,2008,221.8
Arizona Coyotes,2010,228.61
Arizona Coyotes,2011,228.61
Arizona Coyotes,2013,281.32
Arizona Coyotes,2014,310.71
Atlanta Thrashers,2002,253.51
Atlanta Thrashers,2003,236.97
Atlanta Thrashers,2006,266.64
Atlanta Thrashers,2007,234.44
Atlanta Thrashers,2008,262.48
Atlanta Thrashers,2010,262.88
Atlanta Thrashers,2011,
Atlanta Thrashers,2013,
Atlanta Thrashers,2014,
Boston Bruins,2002,293.49
Boston Bruins,2003,304.39
Boston Bruins,2006,327.77
Boston Bruins,2007,327.77
Boston Bruins,2008,352.6
Boston Bruins,2010,336.27
Boston Bruins,2011,352.26
Boston Bruins,2013,444.13
Boston Bruins,2014,509.8
Buffalo Sabres,2002,222.84
Buffalo Sabres,2003,208.83
Buffalo Sabres,2006,187.29
Buffalo Sabres,2007,197.25
Buffalo Sabres,2008,222.72
Buffalo Sabres,2010,228.72
Buffalo Sabres,2011,231
Buffalo Sabres,2013,293.76
Buffalo Sabres,2014,290.9
Calgary Flames,2002,178.87
Calgary Flames,2003,204.98
Calgary Flames,2006,282.6
Calgary Flames,2007,344.56
Calgary Flames,2008,312.44
Calgary Flames,2010,366.29
Calgary Flames,2011,374.51
Calgary Flames,2013,366.85
Calgary Flames,2014,352.12
Carolina Hurricanes,2002,193.06
Carolina Hurricanes,2003,193.06
Carolina Hurricanes,2006,217.62
Carolina Hurricanes,2007,205.57
Carolina Hurricanes,2008,219.52
Carolina Hurricanes,2010,251.83
Carolina Hurricanes,2011,251.83
Carolina Hurricanes,2013,303.63
Carolina Hurricanes,2014,341.17
Chicago Blackhawks,2002,276.28
Chicago Blackhawks,2003,286
Chicago Blackhawks,2006,225.52
Chicago Blackhawks,2007,262.48
Chicago Blackhawks,2008,312.38
Chicago Blackhawks,2010,350.58
Chicago Blackhawks,2011,367.38
Chicago Blackhawks,2013,437.8
Chicago Blackhawks,2014,463.2
Colorado Avalanche,2002,236.13
Colorado Avalanche,2003,242.24
Colorado Avalanche,2006,235.91
Colorado Avalanche,2007,240.19
Colorado Avalanche,2008,242.96
Colorado Avalanche,2010,242.96
Colorado Avalanche,2011,242.96
Colorado Avalanche,2013,266.99
Colorado Avalanche,2014,295.64
Columbus Blue Jackets,2002,255.58
Columbus Blue Jackets,2003,247.07
Columbus Blue Jackets,2006,243.31
Columbus Blue Jackets,2007,250.12
Columbus Blue Jackets,2008,278.66
Columbus Blue Jackets,2010,269.16
Columbus Blue Jackets,2011,278.31
Columbus Blue Jackets,2013,281.24
Columbus Blue Jackets,2014,288.62
Dallas Stars,2002,239.43
Dallas Stars,2003,234.33
Dallas Stars,2006,232.41
Dallas Stars,2007,234.39
Dallas Stars,2008,244.18
Dallas Stars,2010,222.68
Dallas Stars,2011,223.78
Dallas Stars,2013,263.11
Dallas Stars,2014,263.11
Detroit Red Wings,2002,303.88
Detroit Red Wings,2003,318.44
Detroit Red Wings,2006,261.51
Detroit Red Wings,2007,251.03
Detroit Red Wings,2008,279.4
Detroit Red Wings,2010,299.92
Detroit Red Wings,2011,306.12
Detroit Red Wings,2013,365.86
Detroit Red Wings,2014,307.54
Edmonton Oilers,2002,176.52
Edmonton Oilers,2003,217.54
Edmonton Oilers,2006,283.65
Edmonton Oilers,2007,331.95
Edmonton Oilers,2008,294.61
Edmonton Oilers,2010,346.46
Edmonton Oilers,2011,369.48
Edmonton Oilers,2013,389.64
Edmonton Oilers,2014,393.75
Florida Panthers,2002,202.82
Florida Panthers,2003,217.05
Florida Panthers,2006,271.12
Florida Panthers,2007,302.58
Florida Panthers,2008,309.44
Florida Panthers,2010,304.4
Florida Panthers,2011,316.58
Florida Panthers,2013,285.42
Florida Panthers,2014,255.55
Los Angeles Kings,2002,280
Los Angeles Kings,2003,274
Los Angeles Kings,2006,271.42
Los Angeles Kings,2007,275.42
Los Angeles Kings,2008,281.31
Los Angeles Kings,2010,297.22
Los Angeles Kings,2011,304.66
Los Angeles Kings,2013,382
Los Angeles Kings,2014,384.99
Minnesota Wild,2002,248.34
Minnesota Wild,2003,262.89
Minnesota Wild,2006,293.98
Minnesota Wild,2007,322.46
Minnesota Wild,2008,338.12
Minnesota Wild,2010,346.01
Minnesota Wild,2011,346.01
Minnesota Wild,2013,376.55
Minnesota Wild,2014,383.25
Montreal Canadiens,2002,192.81
Montreal Canadiens,2003,221.1
Montreal Canadiens,2006,332.27
Montreal Canadiens,2007,388.24
Montreal Canadiens,2008,361.25
Montreal Canadiens,2010,474.44
Montreal Canadiens,2011,486.28
Montreal Canadiens,2013,431.34
Montreal Canadiens,2014,410.04
Nashville Predators,2002,238.61
Nashville Predators,2003,243.47
Nashville Predators,2006,242.63
Nashville Predators,2007,225.52
Nashville Predators,2008,273.38
Nashville Predators,2010,288.67
Nashville Predators,2011,288.67
Nashville Predators,2013,320.23
Nashville Predators,2014,343.14
New Jersey Devils,2002,309.68
New Jersey Devils,2003,309.68
New Jersey Devils,2006,327.66
New Jersey Devils,2007,365.67
New Jersey Devils,2008,339.6
New Jersey Devils,2010,302.83
New Jersey Devils,2011,281.95
New Jersey Devils,2013,313.85
New Jersey Devils,2014,313.85
New York Islanders,2002,234.76
New York Islanders,2003,293.57
New York Islanders,2006,255.77
New York Islanders,2007,281.46
New York Islanders,2008,287.86
New York Islanders,2010,326.26
New York Islanders,2011,288.74
New York Islanders,2013,381
New York Islanders,2014,299.59
New York Rangers,2002,279.83
New York Rangers,2003,279.83
New York Rangers,2006,284.83
New York Rangers,2007,302.83
New York Rangers,2008,348.84
New York Rangers,2010,364.49
New York Rangers,2011,393.8
New York Rangers,2013,443.06
New York Rangers,2014,479.48
Ottawa Senators,2002,204.41
Ottawa Senators,2003,274.25
Ottawa Senators,2006,266.93
Ottawa Senators,2007,306.63
Ottawa Senators,2008,276.09
Ottawa Senators,2010,328.92
Ottawa Senators,2011,314.06
Ottawa Senators,2013,259.92
Ottawa Senators,2014,296.19
Philadelphia Flyers,2002,310.72
Philadelphia Flyers,2003,318.22
Philadelphia Flyers,2006,314.15
Philadelphia Flyers,2007,313.38
Philadelphia Flyers,2008,322.8
Philadelphia Flyers,2010,329.59
Philadelphia Flyers,2011,364.56
Philadelphia Flyers,2013,367.49
Philadelphia Flyers,2014,386.11
Pittsburgh Penguins,2002,259.21
Pittsburgh Penguins,2003,255.1
Pittsburgh Penguins,2006,216.96
Pittsburgh Penguins,2007,257.74
Pittsburgh Penguins,2008,276.3
Pittsburgh Penguins,2010,326.14
Pittsburgh Penguins,2011,335.25
Pittsburgh Penguins,2013,378.07
Pittsburgh Penguins,2014,390.84
San Jose Sharks,2002,243.59
San Jose Sharks,2003,252.57
San Jose Sharks,2006,219
San Jose Sharks,2007,243.92
San Jose Sharks,2008,269.78
San Jose Sharks,2010,288.33
San Jose Sharks,2011,304.42
San Jose Sharks,2013,340.32
San Jose Sharks,2014,344.42
St. Louis Blues,2002,248.2
St. Louis Blues,2003,248.6
St. Louis Blues,2006,197.39
St. Louis Blues,2007,175.41
St. Louis Blues,2008,193.26
St. Louis Blues,2010,245.28
St. Louis Blues,2011,249.27
St. Louis Blues,2013,308.55
St. Louis Blues,2014,327.32
Tampa Bay Lightning,2002,183.71
Tampa Bay Lightning,2003,214
Tampa Bay Lightning,2006,265.09
Tampa Bay Lightning,2007,262.75
Tampa Bay Lightning,2008,250.64
