outcome,loan,scholarship,cdw_count,first_gen,on_campus
Graduated,2.2939999,0,2,0,1
Graduated,0,0,2,0,0
Graduated,0,0.5,0,1,0
Graduated,0,0,0,1,1
Transferred,0,0,1,0,0
Graduated,0,0,0,1,0
Graduated,0,0,1,1,1
Graduated,4.415,1.5,0,1,1
Transferred,5.007,0,1,1,1
Graduated,0,0,0,1,1
Graduated,1.851,0,1,0,1
Transferred,0,0,3,1,1
Transferred,1.294,0,2,1,0
Transferred,0,0,1,0,1
Did not Graduate,0,0,2,1,0
Graduated,0,0,1,1,1
Graduated,4.6139998,0,1,1,1
Graduated,3.5450001,0,0,0,1
Did not Graduate,1.294,0,2,1,0
Graduated,0,0,0,1,1
Graduated,0.49200001,2,3,1,1
Graduated,0,0,0,1,0
Graduated,1.294,0,1,0,1
Graduated,0,0,0,1,1
Did not Graduate,2.256,0,0,1,1
Graduated,1.294,0,1,1,1
Graduated,0,0,1,0,1
Did not Graduate,0,1.925,4,1,1
Graduated,3.7320001,0,0,1,1
Graduated,0,0,2,1,1
Transferred,0,0,3,0,1
Graduated,0,0,1,1,1
Did not Graduate,7.6370001,0,2,1,1
Graduated,0,0,0,1,1
Transferred,0,0,1,0,1
Did not Graduate,0,0,2,1,0
Graduated,0,1.5,0,1,0
Transferred,5.1939998,0,1,0,0
Did not Graduate,0,0,2,0,0
Graduated,0,0,0,1,1
Graduated,0,0,0,1,1
Transferred,2.267,0,1,0,1
Graduated,0,0,0,0,1
Did not Graduate,6.1739998,0,3,1,1
Graduated,0,0,1,1,1
Graduated,1.294,0,2,0,1
Graduated,5.6370001,0,2,1,1
Graduated,1.294,0,1,1,1
Graduated,1.294,0,2,1,1
Graduated,2.438,0,1,1,1
Graduated,0.972,0,2,1,1
Graduated,1.293,0,2,0,0
Graduated,0,0,0,1,1
Graduated,0,0,1,0,1
Graduated,0,0,0,0,0
Graduated,0,0,0,1,1
Graduated,7.4169998,0,1,0,1
Graduated,0,0,1,1,1
Transferred,4.257,0,0,1,1
Graduated,0,0,0,1,1
Graduated,0,0,0,1,1
