school,rank,peer_rate,gre,sf_ratio,phd_fac_ratio,avg_res,doc_accept
Vanderbilt University (Peabody) (TN),1,4.5,683,2.7,0.5,35.4,7.1
"Teachers College, Columbia University (NY)",2,4.4,617,6.1,1.6,41.4,22
Harvard University (MA),3,4.5,671,5.8,0.8,18.1,8.9
Stanford University (CA),3,4.7,687.5,3.8,0.7,15.2,8
University of Oregon,5,3.5,550,4.1,1.3,29.9,13.4
Johns Hopkins University (MD),6,3.9,612,0.3,0.1,19.3,30.6
University of California-Los Angeles,6,4.1,572,8.9,1.3,30.7,31.9
Northwestern University (IL),8,3.9,686.5,2.5,0.6,13.2,11.9
University of Wisconsin-Madison,9,4.4,558,4.4,0.6,26.9,41
University of California-Berkeley,10,4.3,639.5,8,1,12.2,18.3
University of Texas-Austin,10,4,565,6.3,1,39.2,34.8
University of Washington,10,4,564.5,4.9,1,27.4,52.5
University of Pennsylvania,13,4.1,652,3.9,0.7,13.5,12.1
Ohio State University,14,4,635.5,1.8,0.5,27.4,37.8
University of Michigan-Ann Arbor,14,4.3,600,5.3,0.7,17.5,24.9
New York University (Steinhardt),16,4,626,2.4,0.6,22.7,12.6
Michigan State University,17,4.2,556,4.4,0.7,23.1,52
University of Kansas,17,3.8,540,3.5,0.6,27.2,51.9
Boston College (Lynch),19,3.9,583.5,4,1,14.3,13.4
Indiana University-Bloomington,19,3.9,599.5,3.1,0.7,22.2,36.1
University of Virginia (Curry),21,4.1,615.5,3.1,0.9,11,29.3
Pennsylvania State University-University Park,22,4,575,3.4,0.9,19.7,44.5
University of Minnesota-Twin Cities,23,3.8,569.5,3.9,0.7,26.8,40.3
University of Pittsburgh,23,3.6,554,3.8,0.6,19.4,47.4
University of Illinois-Urbana-Champaign,25,4.2,592.5,4.2,0.9,10.3,37.4
University of Maryland-College Park,25,4,604.5,5.8,0.7,13.4,23.3
University of Southern California (Rossier),27,3.9,583,9.5,7,14.5,17.2
University of Delaware,28,3.2,594.5,2.5,0.8,15.3,32.4
Virginia Commonwealth University,28,3,543,1.7,0.4,23.2,41.4
University of North Carolina-Chapel Hill,30,3.9,563.5,4.9,0.8,10,59.6
George Washington University (DC),31,3.5,558.5,5.4,1.6,13.9,50.8
Texas A&M University-College Station,31,3.7,535.5,3.6,0.7,18.8,54.6
University of Connecticut (Neag),31,3.6,632.5,2.7,0.6,13,38.8
University of Iowa,31,3.6,552.5,3.8,0.7,14.7,54.8
Utah State University,31,3,553,1.1,0.3,29.9,36.8
Arizona State University,36,3.8,601.5,5.5,1.2,14.7,36.5
Cornell University (NY),36,3.6,592.5,2.5,0.1,1.2,14.3
Rutgers,38,3.5,576,2.2,0.7,9.4,39.9
College of William and Mary (VA),39,3.4,596,1.9,0.7,5.7,59.5
University of Georgia,39,4,551.5,2.8,0.7,12,33.8
Florida State University,41,3.4,566.5,3.7,0.7,21.3,48.1
Lehigh University (PA),41,2.9,609,3.4,0.5,8.7,19.2
University of Colorado-Boulder,41,3.7,599,1.9,0.2,5.2,32.8
Purdue University-West Lafayette (IN),44,3.6,549.5,2.2,0.5,8.3,41.9
University of Missouri,45,3.4,543,3.9,1.1,12,42.7
Washington University in St. Louis,45,3.2,621.5,0.8,1,0.8,20
Temple University (PA),47,3.1,577,3,1.1,12.8,54.4
University of Massachusetts-Amherst,47,3.7,584.5,4,0.5,5.6,47.8
University of Tennessee-Knoxville,47,3.3,550,1,0.3,13.3,43
University of Hawaii-Manoa,50,2.9,575,1,0.2,33,44
University of Illinois-Chicago,50,3.5,534,2.7,0.3,12.5,57.7
University of Miami (FL),50,3.2,584,2.6,0.4,6.9,26.4
