cultivar,intensity,hue,alcohol
Dolcetto,5.64,1.04,14.23
Dolcetto,4.38,1.05,13.2
Dolcetto,5.68,1.03,13.16
Dolcetto,7.8,0.86,14.37
Dolcetto,4.32,1.04,13.24
Dolcetto,6.75,1.05,14.2
Dolcetto,5.25,1.02,14.39
Dolcetto,5.05,1.06,14.06
Dolcetto,5.2,1.08,14.83
Dolcetto,7.22,1.01,13.86
Dolcetto,5.75,1.25,14.1
Dolcetto,5.6,1.15,13.75
Dolcetto,5.4,1.25,14.75
Dolcetto,7.5,1.2,14.38
Dolcetto,7.3,1.28,13.63
Dolcetto,6.2,1.07,14.3
Dolcetto,6.6,1.13,13.83
Dolcetto,8.7,1.23,14.19
Dolcetto,5.1,0.96,13.64
Dolcetto,5.65,1.09,14.06
Dolcetto,4.5,1.03,12.93
Dolcetto,3.8,1.11,13.71
Dolcetto,3.93,1.09,12.85
Dolcetto,3.52,1.12,13.5
Dolcetto,3.58,1.13,13.05
Dolcetto,4.8,0.92,13.39
Dolcetto,3.95,1.02,13.3
Dolcetto,4.5,1.25,13.87
Dolcetto,4.7,1.04,14.02
Dolcetto,5.7,1.19,13.73
Dolcetto,6.9,1.09,13.58
Dolcetto,3.84,1.23,13.68
Dolcetto,5.4,1.25,13.76
Dolcetto,4.2,1.1,13.51
Dolcetto,5.1,1.04,13.48
Dolcetto,4.6,1.09,13.28
Dolcetto,4.25,1.12,13.05
Dolcetto,3.7,1.18,13.07
Dolcetto,5.1,0.89,14.22
Dolcetto,6.13,0.95,13.56
Dolcetto,4.28,0.91,13.41
Dolcetto,5.43,0.88,13.88
Dolcetto,4.36,0.82,13.24
Dolcetto,5.04,0.88,13.05
Dolcetto,5.24,0.87,14.21
Dolcetto,4.9,1.04,14.38
Dolcetto,6.1,0.91,13.9
Dolcetto,6.2,1.07,14.1
Dolcetto,8.9,1.12,13.94
Dolcetto,7.2,1.12,13.05
Dolcetto,5.6,1.24,13.83
Dolcetto,7.05,1.01,13.82
Dolcetto,6.3,1.13,13.77
Dolcetto,5.85,0.92,13.74
Dolcetto,6.25,0.98,13.56
Dolcetto,6.38,0.94,14.22
Dolcetto,6,1.07,13.29
Dolcetto,6.8,0.89,13.72
Nebbiolo,1.95,1.05,12.37
Nebbiolo,3.27,1.25,12.33
Nebbiolo,5.75,0.98,12.64
Nebbiolo,3.8,1.23,13.67
Nebbiolo,4.45,1.22,12.37
Nebbiolo,2.95,1.45,12.17
Nebbiolo,4.6,1.19,12.37
Nebbiolo,5.3,1.12,13.11
Nebbiolo,4.68,1.12,12.37
Nebbiolo,3.17,1.02,13.34
Nebbiolo,2.85,1.28,12.21
Nebbiolo,3.05,0.906,12.29
Nebbiolo,3.38,1.36,13.86
Nebbiolo,3.74,0.98,13.49
Nebbiolo,3.35,1.31,12.99
Nebbiolo,3.21,0.99,11.96
Nebbiolo,3.8,1.23,11.66
Nebbiolo,4.6,1.19,13.03
Nebbiolo,2.65,0.96,11.84
Nebbiolo,3.4,1.06,12.33
Nebbiolo,2.57,1.19,12.7
Nebbiolo,2.5,1.38,12
Nebbiolo,3.9,1.16,12.72
Nebbiolo,2.2,1.31,12.08
Nebbiolo,4.8,0.84,13.05
Nebbiolo,3.05,0.79,11.84
Nebbiolo,2.62,1.23,12.67
Nebbiolo,2.45,1.33,12.16
Nebbiolo,2.6,1.36,11.65
Nebbiolo,2.8,1,11.64
Nebbiolo,1.74,1.07,12.08
Nebbiolo,2.4,1.08,12.08
Nebbiolo,3.6,1.05,12
Nebbiolo,3.05,0.96,12.69
Nebbiolo,2.15,1.15,12.29
Nebbiolo,3.25,1.16,11.62
Nebbiolo,2.6,1.16,12.47
Nebbiolo,2.5,0.95,11.81
Nebbiolo,2.9,1.23,12.29
Nebbiolo,4.5,1.04,12.37
Nebbiolo,2.3,1.42,12.29
Nebbiolo,3.3,1.27,12.08
Nebbiolo,2.45,1.04,12.6
Nebbiolo,2.8,0.8,12.34
Nebbiolo,2.06,0.94,11.82
Nebbiolo,2.94,1.04,12.51
Nebbiolo,2.7,0.86,12.42
Nebbiolo,3.4,1,12.25
Nebbiolo,3.3,0.88,12.72
Nebbiolo,2.7,0.86,12.22
Nebbiolo,2.65,0.96,11.61
Nebbiolo,2.9,0.75,11.46
Nebbiolo,2,0.9,12.52
Nebbiolo,3.8,1.23,11.76
Nebbiolo,3.08,1.1,11.41
Nebbiolo,2.9,0.93,12.08
Nebbiolo,1.9,1.71,11.03
Nebbiolo,1.95,0.95,11.82
Nebbiolo,2.06,1.06,12.42
Nebbiolo,3.4,0.7,12.77
Nebbiolo,1.28,0.93,12
Nebbiolo,3.25,0.8,11.45
Nebbiolo,6,0.93,11.56
Nebbiolo,2.08,0.92,12.42
Nebbiolo,2.6,0.73,13.05
Nebbiolo,2.8,0.75,11.87
Nebbiolo,2.76,0.86,12.07
Nebbiolo,3.94,0.69,12.43
Nebbiolo,3,0.97,11.79
Nebbiolo,2.12,0.89,12.37
Nebbiolo,2.6,0.79,12.04
Barbera,4.1,0.76,12.86
Barbera,5.4,0.74,12.88
Barbera,5.7,0.66,12.81
Barbera,5,0.78,12.7
Barbera,7.1,0.73,12.6
Barbera,3.85,0.75,12.25
Barbera,5,0.82,12.53
Barbera,5.7,0.81,13.49
Barbera,4.92,0.89,12.84
Barbera,4.6,0.77,12.93
Barbera,5.6,0.7,13.36
Barbera,4.35,0.89,13.52
Barbera,4.4,0.91,13.62
Barbera,8.21,0.65,12.25
Barbera,4,0.6,13.16
Barbera,4.9,0.58,13.88
Barbera,7.65,0.54,12.87
Barbera,8.42,0.55,13.32
Barbera,9.4,0.57,13.08
Barbera,8.6,0.59,13.5
Barbera,10.8,0.48,12.79
Barbera,7.1,0.61,13.11
Barbera,10.52,0.56,13.23
Barbera,7.6,0.58,12.58
Barbera,7.9,0.6,13.17
Barbera,9.01,0.57,13.84
Barbera,13,0.57,14.34
Barbera,11.75,0.57,13.48
Barbera,7.65,0.56,12.36
Barbera,5.88,0.96,13.69
Barbera,5.58,0.87,12.85
Barbera,5.28,0.68,12.96
Barbera,9.58,0.7,13.78
Barbera,6.62,0.78,13.73
Barbera,10.68,0.85,13.45
Barbera,10.26,0.72,12.82
Barbera,8.66,0.74,13.58
Barbera,8.5,0.67,13.4
Barbera,5.5,0.66,12.2
Barbera,9.9,0.57,12.77
Barbera,9.7,0.62,14.16
Barbera,7.7,0.64,13.71
Barbera,7.3,0.7,13.4
Barbera,10.2,0.59,13.27
Barbera,9.3,0.6,13.17
Barbera,9.2,0.61,14.13
