student,class,popularity,teachPop,extra,female
1,1,6.3,6,5,1
2,1,4.9,5,7,0
3,1,5.3,6,4,1
4,1,4.7,5,3,1
5,1,6,6,5,1
6,1,4.7,5,4,0
7,1,5.9,5,5,0
8,1,4.2,5,4,0
9,1,5.2,5,5,0
10,1,3.9,3,5,0
11,1,5.7,5,5,1
12,1,4.8,5,5,1
13,1,5,5,5,0
14,1,5.5,6,5,1
15,1,6,5,5,1
16,1,5.7,5,6,1
17,1,3.2,2,4,0
18,1,3.1,3,4,0
19,1,6.6,7,7,1
20,1,4.8,4,4,0
1,2,6.4,6,8,1
2,2,2.4,3,4,0
3,2,3.7,4,6,0
4,2,4.4,4,5,1
5,2,4.3,4,5,1
6,2,4,4,5,0
7,2,3.8,5,4,1
8,2,4.2,5,5,0
9,2,5.1,4,6,1
10,2,4.1,4,4,1
11,2,4.6,5,6,1
12,2,4.9,3,4,0
13,2,3.1,4,4,0
14,2,3.2,3,3,0
15,2,4.4,5,6,0
16,2,3.7,4,5,1
17,2,6.1,6,5,1
18,2,3.5,5,3,1
19,2,2.9,3,4,0
20,2,3.3,3,5,0
1,3,4.2,4,5,0
2,3,6,6,5,1
3,3,4.6,5,4,1
4,3,4.9,4,4,1
5,3,4.7,3,6,0
6,3,4.8,4,5,1
7,3,2.8,3,5,0
8,3,6.7,5,7,1
9,3,4.9,5,4,1
10,3,6.3,6,7,1
11,3,5.6,6,6,1
12,3,3.1,3,4,1
13,3,3.5,4,5,1
14,3,4.7,5,4,1
15,3,4.3,4,6,0
16,3,4.9,5,7,0
17,3,5.9,6,6,1
18,3,2.6,2,4,0
1,4,4.1,4,3,1
2,4,5.3,5,2,1
3,4,6.1,7,5,1
4,4,6,6,6,1
5,4,6.3,7,6,1
6,4,4,5,3,0
7,4,5.3,7,6,0
8,4,5.6,6,4,0
9,4,5.2,6,5,0
10,4,6.2,7,6,1
11,4,6.1,5,6,0
12,4,3.9,4,4,0
13,4,4.8,4,3,0
14,4,5.8,5,5,0
15,4,4.9,6,6,0
16,4,6.6,7,5,1
17,4,5.6,6,4,1
18,4,4.5,5,5,0
19,4,5.4,6,4,0
20,4,4.9,5,6,0
21,4,5.4,4,4,0
22,4,6.7,7,5,1
23,4,6.3,6,7,0
1,5,4.2,5,7,0
2,5,4,4,4,1
3,5,4.7,5,5,0
4,5,4.7,5,4,1
5,5,5.2,4,6,0
6,5,5.8,5,7,0
7,5,4.4,6,6,0
8,5,3.8,5,4,1
9,5,5.9,5,6,1
10,5,7,7,8,0
11,5,7.3,6,7,1
12,5,5.6,6,6,1
13,5,5.6,6,7,0
14,5,6.3,7,6,1
15,5,4.2,4,6,0
16,5,4.6,5,5,1
17,5,6.1,5,6,1
18,5,5,5,6,0
19,5,5.8,5,6,1
20,5,5.5,6,5,0
21,5,5.3,5,6,0
1,6,4.1,4,4,0
2,6,5.8,6,6,1
3,6,4.2,4,5,1
4,6,3.9,4,5,1
5,6,5,4,4,1
6,6,4.4,4,4,1
7,6,4.3,5,6,0
8,6,3.3,4,5,0
9,6,3.1,4,4,1
10,6,6.4,7,7,1
11,6,3.5,3,5,0
12,6,5.9,5,6,1
13,6,4.2,5,5,1
14,6,3.5,3,3,0
15,6,4.6,5,4,1
16,6,5.1,5,6,0
17,6,4.2,3,5,0
18,6,4.9,5,7,0
19,6,3.6,4,5,0
20,6,2.7,3,4,0
1,7,5.8,5,6,1
2,7,4.8,4,4,1
3,7,4.4,4,4,0
4,7,1.7,2,4,0
5,7,3.6,3,4,0
6,7,3.8,4,5,1
7,7,4.1,3,4,0
8,7,5.7,6,5,1
9,7,2.9,4,6,0
10,7,4.9,6,5,1
11,7,5.1,4,5,0
12,7,4,3,6,0
13,7,3,4,4,0
14,7,4.7,5,4,1
15,7,2.8,4,7,0
16,7,3.7,4,5,0
17,7,5.1,5,6,1
18,7,3.5,3,5,0
19,7,4.7,4,5,1
20,7,6,6,7,1
21,7,4,5,5,0
1,8,6.1,6,6,1
2,8,3.2,3,5,0
3,8,3.3,3,4,1
4,8,5,5,7,1
5,8,4.2,5,6,0
6,8,5.6,5,7,1
7,8,3.9,3,6,0
8,8,4.5,4,5,1
9,8,2.2,3,6,0
10,8,4.2,4,5,1
11,8,1.5,2,4,0
12,8,3.2,3,5,0
13,8,2.7,3,5,0
14,8,4.1,4,5,1
15,8,4.8,4,7,0
16,8,3.5,3,5,0
17,8,3.6,4,5,1
18,8,5.5,5,7,1
19,8,4.8,5,6,1
20,8,3.5,2,5,1
1,9,5.2,5,6,0
2,9,6,5,5,1
3,9,5.1,5,5,1
4,9,5.3,6,6,1
5,9,6.7,7,6,1
6,9,3.6,4,5,0
7,9,3.5,4,5,0
8,9,3.9,4,5,0
9,9,4.3,5,5,0
10,9,4,4,5,0
11,9,4.6,4,3,0
12,9,4.5,4,4,1
13,9,3.6,4,4,0
14,9,2.6,3,5,0
15,9,3.9,5,4,0
16,9,5,5,6,0
17,9,4.5,6,6,1
18,9,7.3,6,7,1
19,9,6.7,7,6,1
20,9,2.9,4,4,0
1,10,5.4,5,5,0
2,10,6.3,5,6,1
3,10,3.4,3,5,0
4,10,4.9,5,4,1
5,10,5.1,7,5,0
6,10,7,6,6,1
7,10,5.4,4,5,0
8,10,4.9,4,5,0
9,10,6.6,6,6,1
10,10,5.8,6,5,1
11,10,4.4,6,6,0
12,10,4.9,5,6,0
13,10,6,6,7,1
14,10,4.8,3,6,0
15,10,3.6,3,3,0
16,10,5,6,5,0
17,10,5.5,5,3,0
18,10,5,4,6,0
19,10,5.2,5,3,1
20,10,5.4,7,6,1
21,10,6,6,4,1
22,10,5.7,6,6,1
23,10,6.1,5,4,1
24,10,5.2,5,5,1
1,11,4.7,5,4,0
2,11,5.5,5,5,1
3,11,4.8,5,5,1
4,11,4.9,5,6,0
5,11,4.6,3,5,0
6,11,4.6,5,6,1
7,11,3.4,3,5,0
8,11,5.6,7,7,1
9,11,5.4,5,4,1
10,11,5.6,5,5,1
11,11,3.2,5,6,0
12,11,5.1,6,6,0
13,11,4.4,4,6,0
14,11,4.8,6,6,1
15,11,4.2,4,4,1
16,11,4.3,3,5,0
17,11,4.2,3,5,0
18,11,4,5,6,0
19,11,1.6,2,4,0
20,11,4.9,5,5,1
21,11,3.8,4,5,1
22,11,4.1,4,4,0
1,12,3.7,3,5,0
2,12,4.8,5,4,1
3,12,4.2,4,2,1
4,12,5.7,7,7,1
5,12,4.6,4,4,1
6,12,3.8,4,3,0
7,12,2.8,3,4,0
8,12,4.7,5,6,0
9,12,5.6,5,5,1
10,12,2.8,4,3,1
11,12,3.8,2,4,0
12,12,2.4,4,3,0
13,12,5.3,5,4,1
14,12,3.5,4,4,0
15,12,4.5,3,4,0
16,12,4.5,4,5,0
17,12,4.5,5,6,0
2,13,6.5,6,4,1
3,13,6.4,5,4,1
4,13,6.2,6,6,0
5,13,6.1,6,6,0
6,13,5.6,7,5,1
7,13,6.3,7,4,1
8,13,6.2,7,6,0
9,13,6.2,7,6,1
10,13,5.7,6,6,0
11,13,5.9,6,7,0
12,13,5,5,3,1
13,13,6.1,7,4,1
14,13,4.5,5,4,0
15,13,7.2,7,6,1
16,13,6.3,7,6,0
17,13,4.8,5,4,0
18,13,8,8,7,1
19,13,6,6,5,1
20,13,7.7,7,5,1
21,13,6.1,7,4,1
1,14,3,3,7,0
2,14,3.3,4,6,0
3,14,5.3,6,9,0
4,14,3.2,3,7,0
5,14,3.6,5,6,0
6,14,4.5,6,8,0
7,14,1.4,2,5,0
8,14,2.3,3,6,0
9,14,2.8,3,6,0
10,14,4.5,4,8,0
11,14,3.9,4,7,0
12,14,4.5,6,7,0
13,14,3.1,4,7,0
14,14,4.5,5,7,0
15,14,2.3,2,6,0
16,14,6.5,6,8,0
17,14,3.1,3,6,0
1,15,4.2,2,5,0
2,15,3.4,4,5,0
3,15,4,2,4,0
4,15,3.1,1,4,0
5,15,6.3,6,7,0
6,15,4.4,5,6,1
7,15,5.5,5,6,1
8,15,7.9,8,8,1
9,15,2.9,4,5,0
10,15,6.4,6,8,0
11,15,5.1,6,5,1
12,15,4.3,4,7,0
13,15,4.3,5,6,0
14,15,5.8,6,5,1
15,15,4.5,5,6,0
16,15,4.5,4,5,1
17,15,6,6,6,0
18,15,5.6,5,6,1
19,15,4.7,5,6,0
20,15,4.5,4,4,1
21,15,4.3,3,3,0
22,15,3.2,3,5,0
23,15,5,5,5,0
24,15,2.9,3,4,0
1,16,4.2,4,5,1
2,16,5.6,5,6,1
3,16,4.5,5,5,1
4,16,6.3,6,7,1
5,16,5.1,5,5,1
6,16,2.8,2,5,0
7,16,6.3,6,6,1
8,16,3.1,4,8,0
9,16,5.4,5,5,1
10,16,4.7,5,6,1
11,16,6.5,6,8,1
12,16,4.5,4,6,1
13,16,6.8,5,7,1
14,16,2.9,4,5,0
15,16,5.1,4,4,1
16,16,4.2,4,6,1
17,16,5.1,5,6,1
1,17,3.7,4,4,0
2,17,5.2,5,3,1
3,17,6.3,5,6,0
4,17,3.9,5,5,0
5,17,5.3,5,3,1
6,17,3.7,5,5,0
7,17,5.8,6,6,1
8,17,4.6,5,4,1
9,17,5.9,6,5,1
10,17,5.8,6,5,1
11,17,6.6,7,6,1
12,17,3.7,3,4,0
13,17,5.8,5,6,0
14,17,6.2,6,6,1
15,17,4.8,5,6,0
16,17,7,6,6,1
17,17,5.4,4,3,1
18,17,7,6,5,1
19,17,3.3,3,4,0
20,17,6.7,6,7,1
21,17,5.6,6,5,1
22,17,3.5,4,4,0
23,17,3.6,3,4,0
24,17,5.1,5,4,0
25,17,3.7,4,5,0
26,17,5.3,4,4,0
1,18,6.1,6,7,0
2,18,7.8,8,5,1
3,18,4.8,5,4,0
4,18,6.7,6,5,0
5,18,5.1,6,5,0
6,18,6.8,7,4,1
7,18,7.1,6,5,0
8,18,6.7,7,3,1
9,18,5.6,7,5,0
10,18,5.1,7,4,1
