studentID,read.5,read.6,read.7,read.8,atRisk,female,minority,ell,sped,att
1,172,185,179,194,1,1,1,0,0,0.94
2,200,210,209,,1,1,1,0,0,0.91
3,191,199,203,215,1,0,1,0,0,0.97
4,200,195,194,,1,1,1,0,0,0.88
5,207,213,212,213,1,1,1,0,0,0.85
6,191,189,206,195,1,0,1,0,0,0.9
7,199,208,213,218,1,0,1,1,0,0.97
8,191,194,194,,1,1,1,1,1,0.97
9,149,154,174,177,1,1,1,0,1,0.97
10,200,212,213,,1,1,1,0,0,0.96
11,218,231,233,239,1,1,0,0,0,0.98
12,228,232,248,246,1,1,0,0,1,0.96
13,228,236,228,239,0,1,0,0,0,0.99
14,199,210,225,235,0,0,1,1,0,0.99
15,218,223,236,,0,1,0,0,0,1
16,228,226,234,227,0,0,0,0,0,0.97
17,201,210,208,219,0,0,0,0,0,0.98
18,218,220,217,221,0,0,0,0,0,1
19,215,216,221,,0,1,0,0,0,0.96
20,204,215,219,214,0,1,1,0,0,0.95
21,237,241,243,,0,0,0,0,0,0.98
22,219,233,236,,0,1,1,0,0,0.96
