weight,Time,Rat,Diet
240,1,1,1
250,8,1,1
255,15,1,1
260,22,1,1
262,29,1,1
258,36,1,1
266,43,1,1
266,44,1,1
265,50,1,1
272,57,1,1
278,64,1,1
225,1,2,1
230,8,2,1
230,15,2,1
232,22,2,1
240,29,2,1
240,36,2,1
243,43,2,1
244,44,2,1
238,50,2,1
247,57,2,1
245,64,2,1
245,1,3,1
250,8,3,1
250,15,3,1
255,22,3,1
262,29,3,1
265,36,3,1
267,43,3,1
267,44,3,1
264,50,3,1
268,57,3,1
269,64,3,1
260,1,4,1
255,8,4,1
255,15,4,1
265,22,4,1
265,29,4,1
268,36,4,1
270,43,4,1
272,44,4,1
274,50,4,1
273,57,4,1
275,64,4,1
255,1,5,1
260,8,5,1
255,15,5,1
270,22,5,1
270,29,5,1
273,36,5,1
274,43,5,1
273,44,5,1
276,50,5,1
278,57,5,1
280,64,5,1
260,1,6,1
265,8,6,1
270,15,6,1
275,22,6,1
275,29,6,1
277,36,6,1
278,43,6,1
278,44,6,1
284,50,6,1
279,57,6,1
281,64,6,1
275,1,7,1
275,8,7,1
260,15,7,1
270,22,7,1
273,29,7,1
274,36,7,1
276,43,7,1
271,44,7,1
282,50,7,1
281,57,7,1
284,64,7,1
245,1,8,1
255,8,8,1
260,15,8,1
268,22,8,1
270,29,8,1
265,36,8,1
265,43,8,1
267,44,8,1
273,50,8,1
274,57,8,1
278,64,8,1
410,1,9,2
415,8,9,2
425,15,9,2
428,22,9,2
438,29,9,2
443,36,9,2
442,43,9,2
446,44,9,2
456,50,9,2
468,57,9,2
478,64,9,2
405,1,10,2
420,8,10,2
430,15,10,2
440,22,10,2
448,29,10,2
460,36,10,2
458,43,10,2
464,44,10,2
475,50,10,2
484,57,10,2
496,64,10,2
445,1,11,2
445,8,11,2
450,15,11,2
452,22,11,2
455,29,11,2
455,36,11,2
451,43,11,2
450,44,11,2
462,50,11,2
466,57,11,2
472,64,11,2
555,1,12,2
560,8,12,2
565,15,12,2
580,22,12,2
590,29,12,2
597,36,12,2
595,43,12,2
595,44,12,2
612,50,12,2
618,57,12,2
628,64,12,2
470,1,13,3
465,8,13,3
475,15,13,3
485,22,13,3
487,29,13,3
493,36,13,3
493,43,13,3
504,44,13,3
507,50,13,3
518,57,13,3
525,64,13,3
535,1,14,3
525,8,14,3
530,15,14,3
533,22,14,3
535,29,14,3
540,36,14,3
525,43,14,3
530,44,14,3
543,50,14,3
544,57,14,3
559,64,14,3
520,1,15,3
525,8,15,3
530,15,15,3
540,22,15,3
543,29,15,3
546,36,15,3
538,43,15,3
544,44,15,3
553,50,15,3
555,57,15,3
548,64,15,3
510,1,16,3
510,8,16,3
520,15,16,3
515,22,16,3
530,29,16,3
538,36,16,3
535,43,16,3
542,44,16,3
550,50,16,3
553,57,16,3
569,64,16,3
