id,male,read_1986,read_1988,read_1990,read_1992
4,0,23,45,42,46
5,0,43,50,53,67
11,0,35,57,70,69
13,0,18,49,59,70
17,0,40,52,57,80
21,0,35,43,48,59
22,0,19,55,55,55
24,0,21,25,31,34
25,0,16,52,56,66
27,0,18,27,40,45
29,0,18,42,51,72
30,0,26,38,58,61
31,0,36,52,60,75
32,0,25,26,37,35
34,0,22,50,61,81
35,0,17,37,50,65
36,0,25,39,53,51
38,0,19,28,33,36
40,0,25,51,57,62
41,0,31,52,62,68
42,0,22,47,55,66
44,0,35,57,61,67
46,0,37,50,69,57
47,0,33,44,59,58
48,0,28,38,43,50
50,0,22,33,40,42
51,0,22,51,60,70
53,0,25,40,44,55
54,0,31,49,61,67
56,0,18,27,35,37
57,0,9,27,38,47
58,0,27,34,40,47
59,0,22,32,46,56
60,0,28,44,51,60
63,0,32,40,44,59
66,0,20,33,40,47
68,0,17,46,58,72
69,0,46,60,61,61
72,0,20,36,46,55
74,0,18,25,29,35
79,0,28,51,77,67
82,0,45,58,76,80
83,0,23,44,56,72
85,0,35,42,49,44
86,0,35,50,55,77
92,0,24,54,65,77
93,0,23,27,41,44
96,0,32,47,64,74
99,0,26,44,46,50
102,0,27,49,53,66
104,0,35,59,78,71
106,0,29,45,48,64
107,0,17,37,55,63
108,0,22,47,38,57
109,0,25,37,41,72
110,0,27,39,49,55
114,0,44,54,58,63
115,0,38,57,62,68
116,0,18,33,50,62
117,0,18,24,37,54
118,0,43,56,55,58
119,0,28,50,60,61
120,0,32,52,66,79
121,0,17,28,39,48
124,0,23,34,45,48
125,0,17,32,39,47
126,0,30,41,50,55
127,0,22,39,57,60
130,0,14,36,52,60
132,0,23,49,59,60
133,0,24,36,46,51
134,0,38,60,60,69
135,0,35,43,48,56
136,0,17,42,48,56
137,0,31,41,58,74
139,0,22,28,34,45
140,0,35,48,59,67
142,0,18,39,47,58
147,0,25,43,65,60
149,0,21,31,39,47
151,0,21,47,70,82
152,0,20,36,35,51
153,0,23,38,43,62
158,0,35,40,61,62
159,0,34,46,58,64
160,0,27,49,56,67
161,0,18,24,35,44
162,0,20,41,70,80
163,0,18,32,53,59
164,0,30,56,51,65
166,0,23,32,45,53
167,0,21,32,49,59
168,0,7,28,37,41
169,0,47,60,70,80
170,0,24,36,42,47
174,0,24,32,43,57
175,0,19,26,39,48
177,0,36,54,62,77
178,0,19,34,35,50
184,0,19,31,41,51
185,0,17,39,50,60
186,0,24,43,55,55
188,0,18,38,51,65
189,0,28,28,39,40
191,0,30,42,56,62
192,0,20,40,47,60
193,0,20,43,50,57
194,0,26,40,48,51
195,0,18,31,37,43
198,0,24,39,44,48
200,0,18,39,54,58
201,0,21,30,40,40
202,0,20,36,54,61
203,1,31,48,48,65
204,1,21,34,43,44
205,1,30,38,45,55
206,1,21,29,45,45
207,1,18,25,40,41
209,1,17,44,49,58
210,1,16,34,45,57
211,1,25,47,53,55
212,1,18,49,53,78
213,1,24,37,47,55
214,1,14,22,40,52
215,1,21,35,45,51
216,1,18,41,50,51
217,1,18,45,56,58
218,1,26,42,53,69
220,1,22,43,60,63
221,1,47,53,61,70
223,1,37,52,57,78
224,1,17,41,54,73
226,1,18,39,56,65
228,1,17,31,54,61
232,1,12,20,31,34
233,1,35,48,54,62
234,1,21,46,58,68
236,1,38,47,63,67
238,1,20,29,38,44
239,1,19,48,58,74
243,1,18,35,45,59
245,1,33,42,44,66
246,1,27,40,59,65
251,1,32,50,65,72
254,1,23,26,31,40
255,1,18,26,31,40
256,1,38,48,54,71
257,1,27,47,59,69
260,1,21,41,49,58
261,1,21,30,37,48
262,1,22,60,50,56
264,1,18,25,36,47
266,1,17,40,49,52
269,1,23,42,53,54
270,1,33,49,61,68
271,1,22,37,48,54
279,1,56,46,60,63
284,1,37,59,61,83
286,1,35,42,59,63
289,1,32,36,42,44
290,1,18,41,53,79
291,1,40,61,75,66
292,1,31,54,66,78
294,1,24,38,47,52
296,1,24,52,58,79
298,1,18,48,65,68
299,1,17,48,58,60
301,1,36,38,53,59
302,1,32,55,56,49
303,1,19,38,50,48
305,1,26,35,41,62
306,1,15,38,46,64
307,1,27,41,54,57
308,1,17,29,49,60
310,1,18,34,55,64
311,1,18,26,38,39
312,1,72,51,65,76
313,1,18,35,43,54
314,1,26,48,61,74
316,1,18,43,51,72
317,1,24,39,51,56
318,1,22,29,34,51
319,1,17,37,47,70
320,1,21,41,42,43
321,1,19,30,41,44
323,1,17,16,22,25
327,1,31,41,47,51
328,1,23,25,29,36
329,1,19,23,30,28
330,1,18,45,56,64
331,1,45,52,61,79
333,1,21,55,68,69
334,1,16,27,40,57
336,1,24,50,57,69
339,1,18,35,37,56
340,1,18,36,43,51
342,1,20,23,39,45
343,1,13,23,25,34
344,1,20,39,49,77
345,1,28,38,39,50
346,1,18,36,46,47
347,1,17,21,24,34
349,1,13,26,34,42
350,1,36,56,83,79
353,1,21,25,40,33
355,1,30,47,65,61
356,1,20,23,66,58
357,1,21,47,57,52
358,1,23,41,57,67
359,1,26,25,33,44
360,1,43,53,84,79
361,1,21,39,50,53
362,1,15,26,53,56
363,1,21,24,34,39
365,1,23,41,58,69
367,1,51,57,63,75
368,1,32,36,47,59
369,1,26,37,46,63
371,1,31,47,56,64
372,1,42,62,58,61
373,1,28,57,53,58
378,1,39,49,57,65
381,1,24,50,51,58
383,1,22,40,51,63
387,1,16,25,26,37
389,1,18,37,44,42
390,1,17,26,31,35
391,1,18,33,44,61
393,1,26,38,63,61
397,1,35,48,58,75
398,1,22,53,57,61
399,1,18,26,41,40
402,1,18,41,53,55
